Name,RIC,Exchange,TRBC Sector,Type of Equity,Currency,ISIN,CUSIP/CINS,SEDOL,GICS Sector,Market_Cap_(USD),Country_of_Issuer,ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,Controversies_Score,Estimated_CO2_Equivalents_Emission,Number_of_Employees,ROE,Operating_Margin,EPS_Growth_5_Years,DPS_Growth_5_Years,PE,Dividend_Yield,Debt_to_Equity,Current_Ratio,Volatility_200_Days,%_Price_Change_Relative_52W_High,%_Price_Change_Relative_52W_Low
Eckoh PLC,ECK.L,London Stock Exchange,Wireless Telecoms Service Providers,Ordinary Share,British Penny,GB0033359141,G2917Y106,3335914,"Information Technology, Software & Services, IT Services, IT Consulting & Other Services","136,533,409",United Kingdom,25.52,3.78,19.59,54.07,100.00,"1,865.37",191,11.09,12.41,23.50,6.11,24.06,1.93,0.45,1.07,41.16,16.85,27.50
VP PLC,VP.L,London Stock Exchange,Industrial Equipment Rental,Ordinary Share,British Penny,GB0009286963,G93450107,0928696,"Industrials, Capital Goods, Trading Companies & Distributors","241,714,549",United Kingdom,51.82,62.36,53.03,42.90,100.00,"13,695.00","2,833",15.33,12.25,-1.22,7.60,8.44,7.65,1.79,1.03,29.24,33.60,1.66
ScS Group PLC,SCSS.L,London Stock Exchange,Home Furnishings Retailers (NEC),Ordinary Share,British Penny,GB00BRF0TJ56,G7942M100,BRF0TJ5,"Consumer Discretionary, Retailing, Specialty Retail, Homefurnishing Retail","66,483,105",United Kingdom,39.67,30.38,44.75,38.68,100.00,"5,656.00","1,802",27.08,6.09,9.03,-1.69,5.41,8.44,3.31,1.24,31.90,30.43,27.49
Wynnstay Group PLC,WYWYN.L,London Stock Exchange,Food Processing (NEC),Ordinary Share,British Penny,GB0034212331,G9824A105,3421233,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Agricultural Products","105,417,945",United Kingdom,28.03,35.76,11.95,47.30,100.00,"12,809.00",910,13.12,3.02,20.70,6.17,5.97,4.56,0.96,1.77,24.65,41.50,1.21
Porvair PLC,PORV.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB0006963689,G71942109,0696368,"Industrials, Capital Goods, Machinery, Industrial Machinery","318,936,866",United Kingdom,44.08,19.43,32.06,89.42,100.00,"18,660.00",912,11.23,11.48,10.48,6.30,15.87,1.04,0.43,2.16,36.08,20.00,11.55
Good Energy Group PLC,GOODG.L,London Stock Exchange,Electric Utilities (NEC),Ordinary Share,British Penny,GB0033600353,G6257U103,3360035,"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders","35,775,705",United Kingdom,30.02,15.55,20.53,66.94,69.51,92.77,277,23.67,0.87,46.83,-3.58,1.40,1.74,1.98,1.38,44.21,28.13,20.21
Severfield PLC,SFR.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB00B27YGJ97,G80568135,B27YGJ9,"Industrials, Capital Goods, Construction & Engineering","231,963,374",United Kingdom,48.19,45.52,26.26,82.14,100.00,"10,733.00","1,600",9.91,6.50,2.87,5.51,8.75,5.57,0.68,1.25,32.57,19.95,26.82
Ten Entertainment Group PLC,TEG.L,London Stock Exchange,Leisure & Recreation (NEC),Ordinary Share,British Penny,GB00BF020D33,G87595107,BF020D3,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Leisure Facilities","243,186,219",United Kingdom,55.28,40.40,52.94,72.17,100.00,"4,181.80","1,410",44.97,26.51,37.28,0.00,9.61,3.63,3.67,0.67,38.57,7.63,35.30
Speedy Hire PLC,SDY.L,London Stock Exchange,Industrial Equipment Rental,Ordinary Share,British Penny,GB0000163088,G8345C129,0016308,"Industrials, Capital Goods, Trading Companies & Distributors","180,990,134",United Kingdom,72.46,70.32,63.38,85.55,100.00,"12,994.00","3,554",0.65,2.36,-37.91,9.52,370.93,8.15,1.58,1.04,34.80,27.17,7.23
NWF Group PLC,NWF.L,London Stock Exchange,Petroleum Product Wholesale,Ordinary Share,British Penny,GB0006523608,G6681C109,0652360,"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Storage & Transportation","125,947,691",United Kingdom,21.27,17.87,16.31,35.09,100.00,"30,029.00","1,292",19.13,1.95,13.55,4.36,6.88,3.76,1.79,1.08,26.64,27.95,2.66
Headlam Group PLC,HEAD.L,London Stock Exchange,Home Furnishings Wholesale,Ordinary Share,British Penny,GB0004170089,G43680100,0417008,"Consumer Discretionary, Retailing, Distributors","208,397,360",United Kingdom,41.02,30.38,39.87,56.92,100.00,"15,264.80","2,239",14.95,6.62,0.51,-6.84,8.70,7.24,0.94,1.56,26.69,40.00,19.32
Sanderson Design Group PLC,SDG.L,London Stock Exchange,Home Furnishings (NEC),Ordinary Share,British Penny,GB0003061511,G7790P106,0306151,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Home Furnishings","93,066,612",United Kingdom,46.24,42.40,37.67,64.25,100.00,"6,188.90",613,10.85,9.51,-6.03,-4.34,8.54,3.30,0.32,3.39,36.85,28.38,11.22
DFS Furniture PLC,DFSD.L,London Stock Exchange,Furniture,Ordinary Share,British Penny,GB00BTC0LB89,G2848C108,BTC0LB8,"Consumer Discretionary, Retailing, Specialty Retail, Homefurnishing Retail","299,152,123",United Kingdom,63.24,48.83,69.72,72.70,100.00,"22,043.00","5,048",11.68,7.63,1.95,-16.67,10.45,4.33,3.16,0.32,35.75,38.82,2.97
Character Group PLC,CCT.L,London Stock Exchange,Toys & Children's Products (NEC),Ordinary Share,British Penny,GB0008976119,G8977B100,0897611,"Consumer Discretionary, Consumer Durables & Apparel, Leisure Products","66,138,558",United Kingdom,37.66,45.63,27.80,48.38,100.00,262.00,216,24.14,6.48,-2.26,-2.20,13.83,6.47,1.39,1.48,24.76,38.22,11.20
Churchill China PLC,CHCH.L,London Stock Exchange,Tools & Housewares,Ordinary Share,British Penny,GB0001961035,G2129U108,0196103,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Housewares & Specialties","156,725,747",United Kingdom,27.77,39.83,21.77,20.75,100.00,"13,732.00",628,13.94,11.07,4.19,5.07,15.05,2.76,0.34,3.14,33.90,32.75,10.27
Macfarlane Group PLC,MACF.L,London Stock Exchange,Non-Paper Containers & Packaging (NEC),Ordinary Share,British Penny,GB0005518872,G57316104,0551887,"Industrials, Capital Goods, Trading Companies & Distributors","206,988,883",United Kingdom,40.98,39.13,31.16,60.43,100.00,"5,911.00","1,038",14.75,7.40,13.75,10.25,10.33,3.26,1.04,1.22,23.95,12.40,24.41
Gateley (Holdings) PLC,GTLY.L,London Stock Exchange,Legal Services,Ordinary Share,British Penny,GB00BXB07J71,G389A9109,BXB07J7,"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services","217,153,178",United Kingdom,27.50,15.66,22.68,41.95,74.58,932.00,"1,150",15.67,9.06,-2.40,6.30,13.91,6.99,0.90,3.40,17.36,29.90,0.74
Michelmersh Brick Holdings PLC,MBH.L,London Stock Exchange,Construction Material Processing,Ordinary Share,British Penny,GB00B013H060,G6116L104,B013H06,"Materials, Construction Materials","94,944,410",United Kingdom,36.80,32.04,46.13,31.90,100.00,"400,450.00",371,9.98,16.98,28.94,14.60,8.32,5.39,0.39,1.80,17.95,19.12,14.58
Henry Boot PLC,BOOT.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB0001110096,G12516103,0111009,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding","311,096,853",United Kingdom,42.08,21.61,51.03,58.41,100.00,"2,930.00",496,8.59,13.53,-4.88,-3.60,12.65,3.67,0.47,2.28,28.67,25.88,0.53
Tclarke PLC,CTO.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB0002015021,G87012103,0201502,"Industrials, Capital Goods, Construction & Engineering","85,866,199",United Kingdom,32.75,20.74,26.15,58.67,100.00,"1,892.00","1,236",21.71,2.70,7.84,8.86,7.37,4.14,3.68,1.09,32.41,16.82,24.76
James Latham PLC,LTHM.L,London Stock Exchange,Wood Product Wholesale,Ordinary Share,British Penny,GB00B04NP100,G53844125,B04NP10,"Industrials, Capital Goods, Trading Companies & Distributors","266,240,520",United Kingdom,27.99,22.37,20.79,47.79,100.00,"4,670.00",498,18.37,10.70,22.75,11.06,5.99,2.61,0.28,4.71,19.74,21.62,2.29
Netcall PLC,NETC.L,London Stock Exchange,Enterprise Software,Ordinary Share,British Penny,GB0000060532,G6426K101,0006053,"Information Technology, Software & Services, Software, Application Software","162,619,115",United Kingdom,18.73,14.46,13.66,24.39,100.00,32.00,252,8.75,10.65,8.72,-24.56,37.77,0.65,1.08,0.99,32.63,29.49,10.00
Andrews Sykes Group PLC,ANSY.L,London Stock Exchange,Industrial Equipment Rental,Ordinary Share,British Penny,GB0002684552,G0366Q129,0268455,"Industrials, Capital Goods, Trading Companies & Distributors","329,110,188",United Kingdom,33.21,35.00,38.20,25.57,100.00,"2,496.82",565,26.30,25.94,3.88,1.71,14.93,4.05,0.49,3.08,26.28,11.11,54.91
Foxtons Group PLC,FOXT.L,London Stock Exchange,Residential Real Estate Rental & Development,Ordinary Share,British Penny,GB00BCKFY513,G3654P100,BCKFY51,"Real Estate, Real Estate Management & Development, Real Estate Services","132,880,576",United Kingdom,49.27,31.15,53.70,61.91,64.81,"1,942.00","1,161",7.44,9.86,9.83,5.15,10.27,2.51,0.84,0.89,28.76,18.32,32.72
Castings PLC,CGS.L,London Stock Exchange,"Iron, Steel Mills & Foundries",Ordinary Share,British Penny,GB0001795680,G19432106,0179568,"Materials, Metals & Mining, Steel","183,655,533",United Kingdom,47.02,43.49,51.34,45.00,100.00,"31,118.00","1,167",10.47,8.14,7.11,17.41,10.87,9.40,0.32,3.07,28.94,19.63,16.56
Epwin Group PLC,EPWN.L,London Stock Exchange,Construction Supplies & Fixtures (NEC),Ordinary Share,British Penny,GB00BNGY4Y86,G30828126,BNGY4Y8,"Industrials, Capital Goods, Building Products","118,398,075",United Kingdom,28.07,32.55,14.67,43.25,100.00,"20,755.00","1,972",8.31,5.79,-3.98,-7.83,11.78,6.84,2.04,1.16,19.63,19.88,3.26
Nexteq PLC,NXQ.L,London Stock Exchange,Business to Business,Ordinary Share,British Penny,GB00B99PCP71,G7328U114,B99PCP7,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Casinos & Gaming","98,463,589",United Kingdom,36.40,20.53,25.66,48.52,100.00,42.85,207,15.21,7.88,-1.99,2.90,7.76,2.49,0.33,3.23,23.89,40.93,2.55
Eleco PLC,ELCO.L,London Stock Exchange,Enterprise Software,Ordinary Share,British Penny,GB0003081246,G29708107,0308124,"Information Technology, Software & Services, Software, Application Software","89,442,751",United Kingdom,32.78,2.60,22.17,50.97,100.00,49.20,245,9.27,11.23,3.01,3.13,35.21,0.86,0.61,1.37,21.34,5.91,42.13
Animalcare Group plc,ANCR.L,London Stock Exchange,Veterinary Drugs,Ordinary Share,British Penny,GB0032350695,G0403N105,3235069,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","134,739,621",United Kingdom,38.82,7.87,31.45,72.52,100.00,"2,063.26",211,2.49,7.55,75.18,1.92,92.83,2.41,0.50,1.52,31.10,27.00,25.86
Alumasc Group PLC,ALUG.L,London Stock Exchange,Water & Sewage Construction,Ordinary Share,British Penny,GB0000280353,G02296120,0028035,"Industrials, Capital Goods, Building Products","69,914,369",United Kingdom,48.77,60.49,35.02,51.30,100.00,"1,609.93",404,25.65,13.51,16.10,6.98,6.75,6.54,1.65,1.73,28.92,15.32,19.32
James Cropper PLC,CRPR.L,London Stock Exchange,Paper Products (NEC),Ordinary Share,British Penny,GB0002346053,G25592109,0234605,"Materials, Paper & Forest Products, Paper Products","86,861,758",United Kingdom,43.86,33.98,49.15,55.94,100.00,"33,405.00",628,1.61,2.88,-34.06,-14.97,137.04,0.81,2.07,2.24,35.78,27.59,32.14
Topps Tiles PLC,TPT.L,London Stock Exchange,Builder Merchants,Ordinary Share,British Penny,GB00B18P5K83,G8923L145,B18P5K8,"Consumer Discretionary, Retailing, Specialty Retail, Home Improvement Retail","117,306,994",United Kingdom,63.48,72.66,38.53,86.61,100.00,"4,800.00","1,751",33.88,6.00,-8.00,0.57,17.89,7.82,5.71,0.98,34.78,15.92,29.26
Carr's Group PLC,CARRC.L,London Stock Exchange,Animal Feed,Ordinary Share,British Penny,GB00BRK01058,G19264111,BRK0105,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Agricultural Products","152,386,950",United Kingdom,27.98,28.51,19.15,42.64,100.00,"7,670.00","1,153",7.38,3.10,3.67,2.93,22.63,3.95,1.47,1.61,29.60,13.34,40.16
Portmeirion Group PLC,PMGR.L,London Stock Exchange,"Appliances, Tools & Housewares (NEC)",Ordinary Share,British Penny,GB0006957293,G7181V100,0695729,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Housewares & Specialties","43,838,043",United Kingdom,32.37,16.46,41.49,39.84,100.00,"3,111.13",866,8.33,6.53,-9.03,-13.60,7.53,6.08,0.57,2.36,48.21,51.21,1.59
Van Elle Holdings PLC,VANL.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB00BYX4TP46,G931BZ109,BYX4TP4,"Industrials, Capital Goods, Construction & Engineering","52,415,991",United Kingdom,19.84,1.76,19.60,41.87,100.00,"5,921.00",601,9.35,3.94,-13.72,-14.33,9.21,3.00,0.90,1.43,39.02,28.58,29.03
Empresaria Group PLC,EMPR.L,London Stock Exchange,Outsourcing & Staffing Services,Ordinary Share,British Penny,GB00B0358N07,G3038D112,B0358N0,"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services","24,729,604",United Kingdom,26.38,3.38,19.20,51.65,100.00,869.97,"2,725",7.94,3.37,-2.92,1.18,19.69,3.46,1.75,1.00,39.23,39.46,11.26
Dewhurst Group PLC,DWHT.L,London Stock Exchange,Electrical Components & Equipment (NEC),Ordinary Share,British Penny,GB0002675048,G27496101,0267504,"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment","80,322,195",United Kingdom,12.16,8.32,7.48,22.91,64.39,342.00,341,8.10,15.30,2.65,4.21,12.42,1.90,0.21,4.90,27.33,42.45,8.82
Colefax Group PLC,CFX.L,London Stock Exchange,Home Furnishings (NEC),Ordinary Share,British Penny,GB0002090453,G22596103,0209045,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Home Furnishings","55,437,336",United Kingdom,14.08,6.94,9.76,30.10,100.00,282.09,327,19.69,9.08,18.68,1.55,8.13,0.74,1.36,2.10,17.94,15.70,20.83
Mulberry Group PLC,MUL.L,London Stock Exchange,Apparel & Accessories (NEC),Ordinary Share,British Penny,GB0006094303,G6328C108,0609430,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Apparel, Accessories & Luxury Goods","151,300,572",United Kingdom,30.17,40.69,27.37,28.69,100.00,"1,500.00","1,110",24.89,3.35,18.14,-27.52,10.26,0.49,2.11,1.48,43.03,34.71,13.89
Shell PLC,SHEL.L,London Stock Exchange,Integrated Oil & Gas,Ordinary Share,British Penny,GB00BP6MXD84,G80827101,BP6MXD8,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","216,789,694,184",United Kingdom,93.65,92.22,93.73,95.61,0.63,"59,000,000.00","82,000",22.21,15.43,31.87,-9.18,8.20,3.52,1.31,1.37,22.81,0.16,23.89
Unilever PLC,ULVR.L,London Stock Exchange,Personal Products (NEC),Ordinary Share,British Penny,GB00B10RZP78,G92087165,B10RZP7,"Consumer Staples, Household & Personal Products, Personal Products","121,668,206,668",United Kingdom,91.78,89.38,93.57,90.73,4.55,"710,740.00","148,000",40.18,16.12,7.00,3.28,14.05,3.80,2.95,0.75,13.53,11.82,4.11
AstraZeneca PLC,AZN.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,British Penny,GB0009895292,G0593M107,0989529,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","209,027,667,701",United Kingdom,95.71,92.70,97.05,95.91,38.03,"440,243.00","83,100",8.88,19.34,-0.43,3.39,35.11,2.14,1.60,0.86,21.57,11.41,15.57
Rio Tinto PLC,RIO.L,London Stock Exchange,Diversified Mining,Ordinary Share,British Penny,GB0007188757,G75754104,0718875,"Materials, Metals & Mining, Diversified Metals & Mining","77,817,949,798",United Kingdom,72.65,69.40,87.94,52.27,6.64,"26,500,000.00","49,000",24.53,34.65,10.41,13.87,12.08,6.38,0.87,1.64,26.74,20.96,14.43
